"Taxon"	"BCD1"	"BCD2"	"BCP1"	"BCP2"	"BD1"	"BD4"	"BP1"	"BP4"	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD8"	"CP1"	"CP2"	"CP3"	"CP4"	"CP5"	"CP8"
"Bacteria;Firmicutes;Other;Other;Other;Other"	0.0151743165	0.009009009	0.0149654452	0.004784689	0.0044843049	0	0	0.0080645161	0.012846829	0.0095624201	0.019182474	0.0075066648	0.0041363572	0.0094467527	0.0127875043	0.0076167485	0.0058701522	0.0166808149	0.0213491355	0.0068264451
"Bacteria;Other;Other;Other;Other;Other"	0.0042638575	0.006006006	0.0064634813	0.0023923445	0	0	0.012345679	0.0080645161	0.0057686863	0.0041422465	0.0102591504	0.0043496562	0.0018542291	0.0062541002	0.002917954	0.0018313494	0.0026220013	0.0064091681	0.0021105609	0.0028196186
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Balneimonas"	0	0	0	0	0	0	0	0	"3.53907134768e-05"	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Other;Other"	0	0	0	0.0023923445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Parasutterella"	0.0003762227	0	"4.97190871576e-05"	0	0	0	0	0	0.0055917327	0.0001762658	0.0011220946	"7.01557457556e-05"	0.000855798	0.0171441067	0.0008238929	0	"7.82686964349e-05"	"4.24448217317e-05"	"8.11754200828e-05"	0.0047117311
"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax"	0	0	0	0	0	0	0	0	0	0	0	0	0.000142633	0	0	0	0	0	0	0
"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Other;Other"	0	0	"4.97190871576e-05"	0	0	0	0	0	"7.07814269536e-05"	0	"5.34330750735e-05"	0	0	0.0003498797	"1.71644352901e-05"	0	0	"4.24448217317e-05"	0	0.0002226015
"Bacteria;Proteobacteria;Betaproteobacteria;Other;Other;Other"	0.0006270379	0	0	0	0	0	0	0	0.0005662514	0	"5.34330750735e-05"	0	0	0.0001312049	"1.71644352901e-05"	0	0	0	0	0
"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Other"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002081079	0	0	0	0
"Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Other;Other"	0	0	0.0022373589	0	0.0044843049	0	0	0.0080645161	0.0001769536	0	"5.34330750735e-05"	0	0	0	0.0003604531	0.0004162158	"7.82686964349e-05"	0	0	0
"Bacteria;Proteobacteria;Deltaproteobacteria;Other;Other;Other"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"3.43288705802e-05"	0	0	0	0	0
"Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter"	0	0	"9.94381743151e-05"	0	0	0	0	0	"3.53907134768e-05"	0	0	0	0	0	"6.86577411603e-05"	0	0	0	0	0
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Other"	0	0	0	0	0	0	0	0	0	0	0	"2.33852485852e-05"	0.000142633	0.001268314	0	0	0	0	0	"7.42004897232e-05"
"Bacteria;Proteobacteria;Gammaproteobacteria;Other;Other;Other"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1.71644352901e-05"	0	0	0	0	0
"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas"	0	0	0	0	0	0	0	0	0.0001769536	0	0	0	0	0	"5.14933058702e-05"	0	0	0	0	0
"Bacteria;Proteobacteria;Other;Other;Other;Other"	0	0	0	0.0023923445	0	0	0	0	0	0	"5.34330750735e-05"	0	0	0	"1.71644352901e-05"	0	0	0	0	0
"Bacteria;TM7;TM7_genera_incertae_sedis;Other;Other;Other"	0	0	"9.94381743151e-05"	0	0	0	0	0	"7.07814269536e-05"	0	0.0001068662	0	0	0	"6.86577411603e-05"	0	0.000117403	0	0	0
"Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma"	0	0	0	0	0	0	0.0061728395	0	0.0001061721	0	0	0	0.000142633	0	0.0010298661	0	0	"4.24448217317e-05"	0.0008117542	0
"Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia"	0	0	0	0	0	0	0	0	0	0	0	0.0001403115	0	"8.74699322108e-05"	0	0	0	0	0	0
